"","x"
"1","C9orf152"
"2","RPS11"
"3","ELMO2"
"4","CREB3L1"
"5","PNMA1"
"6","MMP2"
"7","TMEM216"
"8","LOC653712"
"9","C10orf90"
"10","ZHX3"
"11","ERCC5"
"12","GPR98"
"13","RXFP3"
"14","APBB2"
"15","KLHL13"
"16","PRSSL1"
"17","PDCL3"
"18","AEN"
"19","FRG2"
"20","DECR1"
"21","SALL1"
"22","GGT3P"
"23","CADM4"
"24","RPS18"
"25","SLC10A7"
"26","OR2K2"
"27","BRIX1"
"28","LMAN1"
"29","CHD8"
"30","SUMO1"
"31","GP1BA"
"32","UQCR11"
"33","DDB1"
"34","MYO9B"
"35","CRNKL1"
"36","C9orf45"
"37","XAB2"
"38","RTN1"
"39","KLHL14"
"40","ADAM21P1"
"41","ZBTB12"
"42","UTY"
"43","CENPQ"
"44","ZAR1L"
"45","DTNBP1"
"46","KBTBD8"
"47","ZEB1"
"48","ZG16"
"49","FAT4"
"50","MIER1"
"51","CHD9"
"52","ADAM5P"
"53","STK16"
"54","ARID3C"
"55","KIAA1486"
"56","TOB2"
"57","BANK1"
"58","OR2V2"
"59","SFTA2"
"60","GRM2"
"61","PROSC"
"62","SPIN2B"
"63","PIR"
"64","IPO9"
"65","FLJ26850"
"66","EVC"
"67","CXCL13"
"68","KIAA1199"
"69","SORL1"
"70","NAT10"
"71","CHD1"
"72","SYN3"
"73","SLC22A2"
"74","SERPINF1"
"75","WDR34"
"76","OR7A17"
"77","POTED"
"78","C9orf11"
"79","EPT1"
"80","RNF216L"
"81","LHB"
"82","TAOK3"
"83","STK25"
"84","C3orf39"
"85","CDC25B"
"86","BMP3"
"87","TMEM180"
"88","MAP1LC3C"
"89","MIR564"
"90","CRYGC"
"91","POU3F1"
"92","C4orf11"
"93","HIGD1B"
"94","USP6NL"
"95","ABCD4"
"96","C11orf93"
"97","DIMT1L"
"98","TEK"
"99","SLC25A46"
"100","LARP7"
"101","CD160"
"102","PHF20"
"103","CPNE4"
"104","GTPBP1"
"105","RAB33B"
"106","ALDOC"
"107","ZNF212"
"108","NUDT1"
"109","RFPL2"
"110","ZNF83"
"111","IPW"
"112","GDPD5"
"113","PDCD4"
"114","LOC100128788"
"115","CEP350"
"116","OR10A2"
"117","CST7"
"118","SELL"
"119","CIAO1"
"120","LTBP4"
"121","DCAF4L1"
"122","SIRT6"
"123","CCL19"
"124","PPIL1"
"125","GBP7"
"126","ANKRD56"
"127","STK17A"
"128","ABR"
"129","PCDHA13"
"130","FOXE1"
"131","SIAH3"
"132","RIMBP3B"
"133","GML"
"134","CNGA3"
"135","CD38"
"136","ZDHHC6"
"137","NEFH"
"138","DLX6AS"
"139","PGBD5"
"140","CTDSP2"
"141","ZNF257"
"142","RMND5B"
"143","CCNY"
"144","EXOSC7"
"145","C11orf88"
"146","ROR2"
"147","LOC338758"
"148","MAOA"
"149","TNNT3"
"150","GYPC"
"151","MIR3120"
"152","C7orf33"
"153","RNF4"
"154","F8A1"
"155","HDAC7"
"156","PLEKHG4"
"157","GRIK1AS"
"158","GRB2"
"159","AGPHD1"
"160","HSPC072"
"161","HIST1H2AD"
"162","DUS3L"
"163","EIF1"
"164","C3orf66"
"165","FPGT"
"166","CHST15"
"167","GPN2"
"168","GDF10"
"169","COQ9"
"170","TRAPPC9"
"171","DKFZP434I0714"
"172","GCC2"
"173","RARRES3"
"174","PLXNA1"
"175","KIAA0100"
"176","PMF1"
"177","FNDC1"
"178","HS2ST1"
"179","CRELD2"
"180","CD82"
"181","C8G"
"182","LOC100132526"
"183","LIM2"
"184","MMP16"
"185","MIMT1"
"186","LOC100133091"
"187","DRD3"
"188","PTP4A2"
"189","OR4M2"
"190","C11orf73"
"191","HPCA"
"192","SEC14L1"
"193","EMILIN1"
"194","CHFR"
"195","NDUFS4"
"196","COL18A1"
"197","PDZD3"
"198","PRAMEF7"
"199","WBSCR26"
"200","C9orf16"
"201","ERBB2IP"
"202","FUS"
"203","EMX2"
"204","TF"
"205","CXorf56"
"206","CLCN4"
"207","NPR1"
"208","ELAC2"
"209","CELA1"
"210","ASS1"
"211","USP42"
"212","SEC23IP"
"213","POLR2J"
"214","C6orf176"
"215","UQCRC1"
"216","LOC729603"
"217","POLG"
"218","ADAM23"
"219","TFR2"
"220","RICTOR"
"221","GRXCR2"
"222","FLJ42709"
"223","SNORD105"
"224","IDO2"
"225","HLA-J"
"226","C19orf55"
"227","SNAPC1"
"228","GNA11"
"229","CCDC52"
"230","LOC654342"
"231","FSIP1"
"232","CELA3A"
"233","UPF3A"
"234","IGSF11"
"235","LAGE3"
"236","CHST6"
"237","UNC13B"
"238","SUZ12P"
"239","TTLL4"
"240","ZNF687"
"241","SDC2"
"242","COX7A2"
"243","CETN4P"
"244","LOC100132707"
"245","LAMB4"
"246","FAM24A"
"247","PDP1"
"248","LRRTM3"
"249","GPHB5"
"250","AHCYL2"
"251","IZUMO2"
"252","FLJ39739"
"253","NCRNA00052"
"254","HABP4"
"255","TMEM125"
"256","CNTN2"
"257","ASNSD1"
"258","FUT4"
"259","BAGE4"
"260","RP9"
"261","ARAP1"
"262","CDH8"
"263","AGPS"
"264","PP14571"
"265","FAM90A9"
"266","CLEC4GP1"
"267","PECI"
"268","UNG"
"269","LOC284344"
"270","GSTP1"
"271","DCUN1D5"
"272","SLC9A3R1"
"273","LILRA6"
"274","CHMP7"
"275","REM2"
"276","DNHD1"
"277","FKBP4"
"278","ZNF350"
"279","BST1"
"280","KISS1R"
"281","NCR2"
"282","UBE2W"
"283","OR2T29"
"284","SNORA78"
"285","KRT15"
"286","C10orf99"
"287","SCN11A"
"288","GFI1"
"289","FHL1"
"290","SMC6"
"291","OSGEP"
"292","TTTY14"
"293","LPIN3"
"294","RPL4"
"295","RBPMS"
"296","PRPF3"
"297","HEJ1"
"298","EMR1"
"299","SPATA19"
"300","XCR1"
"301","IRX3"
"302","ELFN1"
"303","RBM6"
"304","KLF4"
"305","LOC729177"
"306","UNC5CL"
"307","C16orf71"
"308","LOC100128252"
"309","SEBOX"
"310","BTK"
"311","KRCC1"
"312","SYTL5"
"313","PRND"
"314","C6orf27"
"315","PIGL"
"316","HUS1"
"317","DNAJC30"
"318","UIMC1"
"319","FXYD2"
"320","C17orf77"
"321","ZNF667"
"322","ZCCHC12"
"323","NCRNA00245"
"324","TFEC"
"325","ATP7B"
"326","C2orf78"
"327","RG9MTD1"
"328","POLD2"
"329","NCRNA00189"
"330","ABCC6P1"
"331","MIR3180-3"
"332","ACOT2"
"333","HIST1H4I"
"334","PPARGC1A"
"335","ETFA"
"336","ZNF146"
"337","POLRMT"
"338","MIA2"
"339","KLHL6"
"340","LOC642924"
"341","NENF"
"342","HOXB5"
"343","ARGFX"
"344","PRSS22"
"345","CASC4"
"346","LOC400752"
"347","LOC338799"
"348","GTSF1"
"349","CUL4B"
"350","CENPJ"
"351","PITX1"
"352","AKIRIN1"
"353","CELSR3"
"354","LCN15"
"355","DNAJC9"
"356","ZNF568"
"357","ITSN1"
"358","EHBP1L1"
"359","C19orf2"
"360","MT1DP"
"361","DCTN1"
"362","LIN28B"
"363","TNKS2"
"364","DUX4L3"
"365","C1QBP"
"366","CADPS2"
"367","SRMS"
"368","GJA9"
"369","TRIM45"
"370","LOC392232"
"371","TCP1"
"372","TMED7"
"373","CENPL"
"374","PTCRA"
"375","FST"
"376","VWCE"
"377","PAWR"
"378","TBC1D3B"
"379","SNORD91A"
"380","ABCC12"
"381","LDLR"
"382","CXCR2P1"
"383","ASTN2"
"384","TAB2"
"385","GPATCH8"
"386","TANC2"
"387","KIF4A"
"388","FAM161A"
"389","C18orf18"
"390","PGM1"
"391","SNORA11C"
"392","CPD"
"393","SNORD116-7"
"394","SNCAIP"
"395","DCT"
"396","ANXA8"
"397","HLA-DOA"
"398","UPK1B"
"399","DNAJB4"
"400","HIST1H4L"
"401","PECR"
"402","WFIKKN1"
"403","HSPA2"
"404","SERP1"
"405","SYDE2"
"406","C15orf60"
"407","TACR2"
"408","SVOPL"
"409","C6orf225"
"410","NUP85"
"411","SNORA18"
"412","CD177"
"413","PIGG"
"414","LGR5"
"415","LOC574538"
"416","SCARNA2"
"417","RAB5A"
"418","LRRC16B"
"419","FLJ13224"
"420","DCAF11"
"421","USP9Y"
"422","C7orf53"
"423","PLEKHM3"
"424","LRP1B"
"425","XAF1"
"426","ENKUR"
"427","ANKDD1A"
"428","ABCG8"
"429","DAND5"
"430","SPAG6"
"431","LOC100133161"
"432","ZDHHC22"
"433","CCDC60"
"434","THOC7"
"435","TCTA"
"436","CCDC162"
"437","GGTLC2"
"438","B2M"
"439","LPPR4"
"440","C6orf141"
